"evidence_id","title","category","authority","source_type","document_date","effective_date","expiry_date","completeness","text_status","source_url","accessed_date","local_path","pages","sha256","trust_tier","notes"
"GJ-TRANS-2026-001","CM launches Viksit Gujarat Data Centre Policy in Gandhinagar","transcripts-and-datasets","Chief Minister's Office, Government of Gujarat","official video","2026-07-09","","","full video; user transcript available","captions unavailable","https://www.youtube.com/watch?v=pHhimjxK9RU","2026-07-19","evidence/transcripts-and-datasets/GJ-TRANS-2026-001__policy-launch-video.md","","1a961fcfade64c14375668fa3af1a3468d031db28f263b202806ec95076a3174","2","47:46 verified video; user-supplied edited transcript is GJ-TRANS-2026-002."
"GJ-CONN-2025-002","Revised EOI for cable landing stations in Gujarat","connectivity-and-market","Directorate of ICT and e-Governance, Department of Science and Technology","official EOI","2025-07-02","","","full; supersedes January EOI","embedded text","https://directorit.gujarat.gov.in/Content/downloads/EoI_CLS_V2_11_08_2025.pdf","2026-07-19","evidence/connectivity-and-market/GJ-CONN-2025-002__cls-eoi-v2-july-2025.pdf","22","114e716163511dc1c7ebc91717cc476ef46f65a78b1affcbbc29c837220475db","2","EOI No. DIT/ITP/EOI/0725/001; removes prior turnover/experience tests and clarifies eligible GFCI; not an award."
"GJ-CONN-2026-001","India data-centre capacity and submarine-cable systems","connectivity-and-market","Press Information Bureau / Ministry of Electronics and Information Technology","official parliamentary-answer release","2026-03-18","","","full page capture","HTML text","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241783&reg=6&lang=1","2026-07-19","evidence/connectivity-and-market/GJ-CONN-2026-001__pib-india-dc-capacity-and-cls.html","","da3ef7224905433d4efb07c96e1d9d709ee20e791122192f1e202c049e982d3b","2","National benchmark; Gujarat absent from major-city capacity and listed operational/planned CLS tables as of the answer date."
"GJ-GOV-2026-002","Official Gujarat launch press release","government-and-politics","Government of Gujarat, Directorate of Information / Department of Science and Technology","official press-release API record","2026-07-09","","","full structured record","JSON with embedded HTML text","https://gujaratinformation.gujarat.gov.in/PressReleaseDetailsL/?id=46535&DepId=57&DistrictId=35&LanguageId=1","2026-07-19","evidence/government-and-politics/GJ-GOV-2026-002__gujarat-information-policy-launch.json","","05abf381c7158e6d622ac534f7a8461bf4bafc8e5b5bf133d358ba12b8adf1c6","2","Official launch narrative; confirms 7.5 GW plan, 51% green-energy requirement and desalination positioning, but not clause-level legal text. Raw dynamic-page shell is retained alongside the JSON."
"GJ-POL-2026-001","Viksit Gujarat Data Center Policy 2026–2029","policy-and-law","Government of Gujarat, Department of Science and Technology","official policy booklet; user-confirmed official copy","2026","","","full official 16-page booklet","embedded text","https://vainetra.com/wp-content/uploads/2026/07/gujarat-data-centre-policy.pdf","2026-07-19","evidence/policy-and-law/GJ-POL-2026-001__viksit-gujarat-data-centre-policy-mirror.pdf","16","860a61cba19f9b98bef54510a1e5c8b7110f66bd557336365ef394bad57d80e9","1","User confirmed this is the official policy PDF; Vainetra is recorded only as the retrieval host. The booklet states it operates from notification, but does not print the notification/GR date or number, and page 8 contains an XXXXXX in-principle-approval deadline placeholder requiring implementation clarification."
"GJ-POL-2026-002","DST policy portal launch status","policy-and-law","Government of Gujarat, DST Incentive Management Portal","official portal page","2026-07-19","","","full page capture","HTML text","https://dstpolicy.gujarat.gov.in/","2026-07-19","evidence/policy-and-law/GJ-POL-2026-002__dst-policy-portal-launch-status.html","","50ea76b95b85b48719376414d44d75b793620c2983d1b5886887b9464b17689c","2","Confirms policy launched 09/07/2026 and application portal remains under development; no booklet download exposed."
"GJ-PROJ-2026-002","L&T Vyoma signs ₹25,000 crore MoU for 250 MW Dholera AI data centre","projects-and-case-studies","Angel One","secondary financial-news article","2026-02-23","","","full page capture","HTML text","https://www.angelone.in/news/market-updates/l-t-vyoma-signs-25-000-crore-mou-for-250-mw-green-ai-data-centre-in-dholera-gujarat","2026-07-19","evidence/projects-and-case-studies/GJ-PROJ-2026-002__angel-one-lt-vyoma-dholera.html","","688b17198370a9ca54ff8ea957126e1ef377445d8caabc2f8c3f2d42e90bacbb","4","Adds proposed capacity, investment and counterparty detail; no L&T/NSE/BSE primary disclosure located."
"GJ-TRANS-2026-002","Viksit Gujarat Data Centre Policy bilingual transcript","transcripts-and-datasets","User supplied; derived from CMO Gujarat launch video","edited research transcript","2026-07-19","","","substantially complete; not official or verbatim","Markdown text","https://www.youtube.com/watch?v=pHhimjxK9RU","2026-07-19","evidence/transcripts-and-datasets/GJ-TRANS-2026-002__bilingual-policy-launch-transcript.md","","fb05ee5bb33e1cd9975d122578e5b7866d6122782653696c81699ab59c0d2eab","5","Cleaned English rendering plus timestamped original-language text; file duration 47:26 versus YouTube 47:46; verify claims against video."
"GJ-LAND-2012-001","Dholera Final Development Plan – DSIRDA Report 2: General Development Control Regulations","land-and-approvals","Dholera Special Investment Regional Development Authority / Gujarat Infrastructure Development Board","official sanctioned development-plan/GDCR document","2012-09-10","2012-09-10","","full 274-page document","embedded text; encrypted copy/print restrictions","https://dholera.gujarat.gov.in/web/document/download?model=website.documents&field=file&filename_field=DP%20Report%202.pdf&id=178","2026-07-19","evidence/land-and-approvals/GJ-LAND-2012-001__dholera-final-development-plan-report-2-gdcr.pdf","274","f8aa701d19ad4ff73656e10d8eeb45e16c20da393a6665b5ab2a1a01ef60dcfb","1","Cover states sanctioned by Apex Authority (GIDB) and in force from 10 September 2012. Internal headers retain 'Draft GDCR'. Establishes the 2012 baseline, including Knowledge and IT Zone rules; later amendments/current consolidation and plot-specific permissions remain necessary."
"GJ-LAND-2012-002","Dholera Draft General Development Control Regulations mirror","land-and-approvals","Dholera Metro City (private mirror of DSIRDA draft)","unofficial mirror of earlier draft","2012-01-07","","","full 273-page draft; superseded for research by GJ-LAND-2012-001","embedded text; encrypted copy/print restrictions","https://www.dholerametrocity.com/Download/Final-DP/General_Development_Control_Regulations.pdf","2026-07-19","evidence/land-and-approvals/GJ-LAND-2012-002__dholera-draft-gdcr-mirror.pdf","273","6f411776259bb3ec18a873d25fbb12f6a4d6796c59ca7ea4bdeaaeab4089408a","5","Not byte-identical to the official government-hosted 274-page sanctioned edition. PDF metadata dates it to January 2012 and it begins with the Draft GDCR table of contents; retain only for version comparison."
"GJ-CORP-2025-001","L&T rebrands data-centre business as Larsen & Toubro-Vyoma","companies-and-filings","Larsen & Toubro Limited","company press release","2025-11-26","","","full","embedded text","https://2025prodstorageaccount-eqdyc8g8hpccdfez.a02.azurefd.net/ltprod/media/l5hdlnqp/2025-11-26-lt-rebrands-data-centre-business-as-larsen-toubro-vyoma.pdf","2026-07-19","evidence/companies-and-filings/GJ-CORP-2025-001__lt-vyoma-rebrand.pdf","2","c4deee94628dab689ec0658a908536a5500339b657f53e31894a428f1623aa03","3","Establishes that L&T-Cloudfiniti was rebranded as L&T Vyoma and describes it as L&T's data-centre business; names Mumbai, Chennai and Bengaluru, not Dholera."
"GJ-CORP-2026-004","Larsen & Toubro Integrated Annual Report 2025-26","companies-and-filings","Larsen & Toubro Limited / BSE","stock-exchange corporate filing","2026-05-14","","","full","embedded/OCR text","https://www.bseindia.com/xml-data/corpfiling/AttachHis/825f9859-e7f2-4e90-8583-01a38850f795.pdf","2026-07-19","evidence/companies-and-filings/GJ-CORP-2026-004__lt-integrated-annual-report-2025-26.pdf","756","ac36380d48391478793f3d9d050689828990781c1aeea13c1959bdd172297d04","3","PDF page 30 (printed page 29) reports 26 MW across Chennai/Panvel and a 36 MW Mahape facility under development. Dholera is absent from the Vyoma discussion; its sole Dholera occurrence is a semiconductor-FAB caption. Dated negative evidence, not proof of cancellation."
"GJ-CORP-2026-005","L&T teaming with NVIDIA to build gigawatt-scale AI factory","companies-and-filings","Larsen & Toubro Limited","company press release","2026-02-18","","","full","embedded text","https://2025prodstorageaccount-eqdyc8g8hpccdfez.a02.azurefd.net/ltprod/media/t32nxlyx/2026-02-18-lt-teaming-with-nvidia-to-build-india-s-largest-gigawatt-scale-ai-factory.pdf","2026-07-19","evidence/companies-and-filings/GJ-CORP-2026-005__lt-nvidia-ai-factory.pdf","2","8d6b1a02d0a61b2a7ef0b107f46a5f2334971f11fa19d06954b3780661abf469","3","Primary L&T description of proposed national AI-factory venture; identifies Chennai expansion to 30 MW and a 40 MW Mumbai facility under execution, but does not identify Dholera or commit NVIDIA to that site."
"GJ-PROJ-2026-003","L&T Vyoma MoU requires feasibility study for proposed Dholera data centre","projects-and-case-studies","The Indian Express / quoted Gujarat government statement","independent high-trust reporting","2026-02-20","","","full page capture","HTML text and structured article body","https://indianexpress.com/article/cities/ahmedabad/india-ai-impact-summit-2026-lt-vyoma-mou-gujarat-dholera-sir-10543002/","2026-07-19","evidence/projects-and-case-studies/GJ-PROJ-2026-003__indian-express-vyoma-feasibility.html","","5730b3a2d7ba70a02d30622f05d34ca2a9a7e92d38d2430c2d6fa88c235d7338","4","Critical stage evidence: quotes the government saying L&T Vyoma will conduct detailed feasibility assessment of land suitability, infrastructure readiness, availability zones and sustainability. Supports classifying project as MoU/pre-feasibility, not under construction."
"GJ-PROJ-2026-004","L&T Vyoma upcoming data centres page","projects-and-case-studies","Larsen & Toubro-Vyoma","company project-pipeline webpage","","","","full page capture","server-rendered HTML text","https://larsentoubrovyoma.com/data-centers/upcoming","2026-07-19","evidence/projects-and-case-studies/GJ-PROJ-2026-004__lt-vyoma-upcoming-data-centers.html","","365147ee2e06d146c600577d93fb7d777a88ab60e867e8a3d5a645c50682f6b4","3","Current page lists Panvel Phase 2 (40 MW), Mahape (40 MW), Bengaluru (30 MW) and Chennai Phase 2 (90 MW), but not Dholera. Dated negative evidence only."
"GJ-PROJ-2026-005","DICDL website internal search result for Vyoma","projects-and-case-studies","Dholera Industrial City Development Limited","official website search result","","","","full page capture","HTML text","https://dholera.gujarat.gov.in/page/search?search=Vyoma","2026-07-19","evidence/projects-and-case-studies/GJ-PROJ-2026-005__dicdl-site-search-vyoma.html","","773b5eaaa5db1d5686eb526cbec7a0093a9ac1660f0b9ad48c4d51d30bac6fd7","4","Internal search returned zero results at access date. This is a dated discovery limitation and does not establish that no non-public or unindexed authority file exists."
"GJ-PROJ-2026-006","DICDL website internal search result for data centre","projects-and-case-studies","Dholera Industrial City Development Limited","official website search result","","","","full page capture","HTML text","https://dholera.gujarat.gov.in/page/search?search=data%20centre","2026-07-19","evidence/projects-and-case-studies/GJ-PROJ-2026-006__dicdl-site-search-data-centre.html","","37dbda89cad38d25432bcdd730cb524537099ec9bda66feb1156bfcc5bff14b0","4","Internal search returned zero results at access date. This is a dated discovery limitation and does not establish absence of offline or unindexed records."
"GJ-GOV-2026-003","Gujarat Science and Technology Minister announcement of L&T Vyoma Dholera MoU","government-and-politics","Arjun Modhwadia, Gujarat Minister of Science and Technology","verified official social-media statement preserved via X oEmbed","2026-02-20","","","complete text available through oEmbed; image not locally preserved","JSON with embedded post text","https://x.com/arjunmodhwadia/status/2024756380423639368","2026-07-19","evidence/government-and-politics/GJ-GOV-2026-003__minister-vyoma-mou-oembed.json","","430495ca0eec938eb5f0c6d537c72a8349e152bebbda95903d618db2dad68a89","3","Official political confirmation of an MoU for a proposed 250 MW campus and Rs 25,000 crore investment; does not provide the signed MoU or execution evidence."
"GJ-LAND-2026-001","Dholera completed infrastructure - current power and water claims","land-and-approvals","Dholera Industrial City Development Limited","official infrastructure webpage","","","","full page capture","HTML text","https://dholera.gujarat.gov.in/infrastructure/completed","2026-07-19","evidence/land-and-approvals/GJ-LAND-2026-001__dicdl-completed-infrastructure.html","","8d6e0b17ce05bc1aa7b76c92e5f704631d675d0924e4847e55d68f7387a637c0","2","States general Activation Area infrastructure: 50 MLD WTP scalable to 150 MLD; two Torrent Power substations including 400/220 kV GIS; current distribution capacity 500 MVA scalable to 1,500 MVA; GETCO 400 kV source under development. Does not prove any allocation to L&T Vyoma."
"GJ-TRANS-2026-003","Deep Research Report on Official Records for the L&T Vyoma Datacenter Project in Gujarat","transcripts-and-datasets","User supplied","secondary research report / source-discovery aid","2026-07-19","","","full supplied file","Markdown text","","2026-07-20","evidence/transcripts-and-datasets/GJ-TRANS-2026-003__lt-vyoma-official-records-deep-research.md","","3446463cf8ac323b1ef286371435b96cac30de8063af07d054f4aa6939223791","5","Preserved byte-for-byte. Strong discovery map but contains non-portable citation tokens and negative-search conclusions; use underlying sources and dated caveats, not the report as primary authority."
